nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
RUEGGER PHILIPPE SARL,30165,Méjannes-lès-Alès,30340,Récupération de déchets triés,,
AUDEVAL,11069,Carcassonne,11000,Collecte des déchets non dangereux,,
SUEZ RV Région Méditerranée,66136,Perpignan,66000,Collecte des déchets non dangereux,,
FLORETTE FRANCE FOOD SERVICE,66212,Torreilles,66440,Autre transformation et conservation de légumes,,
OCCA PIECES,2A271,Sarrola-Carcopino,20167,Entretien et réparation de véhicules automobiles légers,,
Dépôt Pétrolier de la Marana (EDF),2B148,Lucciana,20290,Production d'électricité,,
SA Sucreries Rhumeries de Marie-Galante,97112,GRAND-BOURG,97112,Fabrication de sucre,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
SADG,97111,DESHAIES,97126,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
ODELOT RECYCLAGE - Galettes,89345,Saint-Florentin,89600,Récupération de déchets triés,,
WEEE METALLICA,62473,Isbergues,62330,Récupération de déchets triés,,
LABORATOIRES ANIOS,59523,Sainghin-en-Mélantois,59262,Fabrication de pesticides et d'autres produits agrochimiques,,
GROUPE BIGARD,21663,Venarey-les-Laumes,21150,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
SAS Beganton,29239,Roscoff,29682,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",,
BARILLA FRANCE,36128,Montierchaume,36130,Fabrication industrielle de pain et de pâtisserie fraîche,,
LAITERIE DE VARENNES (SA),36229,Varennes-sur-Fouzon,36210,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
GROUPE BIGARD,59225,Feignies,59750,Transformation et conservation de la viande de boucherie,,
Agrivalor energie SAS,68138,Hirsingue,68560,Récupération de déchets triés,,
AUCHAN France DARDILLY,69072,Dardilly,69571,Hypermarchés,,
AUCHAN SAINT GENIS,69204,Saint-Genis-Laval,69563,Hypermarchés,,
AUCHAN Saint Priest,69290,Saint-Priest,69800,Hypermarchés,,
LDC BOURGOGNE,71263,Louhans,71501,Transformation et conservation de la viande de volaille,,
Groupe BIGARD,71157,Cuiseaux,71480,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
PALMID'OR BOURGOGNE,71546,Trambly,71520,Transformation et conservation de la viande de volaille,,
Fromagerie La Tournette,74128,Fillinges,74250,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
SAS METHA BEL AIR,86134,Linazay,86400,Production d'électricité,,
BUTAGAZ (Site de LEVIGNEN),60358,Lévignen,60800,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,
CASSE AUTO 05,05017,La Bâtie-Neuve,05230,Commerce de gros (commerce interentreprises) de déchets et débris,,
AUCHAN PLAISIR,78490,Plaisir,78373,Hypermarchés,,
smca,91479,Paray-Vieille-Poste,91550,Entreposage et stockage non frigorifique,,
SMCA,91027,Athis-Mons,91200,Entreposage et stockage non frigorifique,,
KUEHNE NAGEL AGENCE 27,91689,Wissous,91320,Entreposage et stockage frigorifique,,
AUCHAN,78361,Mantes-la-Jolie,78200,Hypermarchés,,
GSM Carrières sous Poissy,78624,Triel-sur-Seine,78510,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
FERINOX SAS,78335,Limay,78520,Récupération de déchets triés,,
Louis Vuitton Malletier Cergy 1,95127,Cergy,95804,Entreposage et stockage non frigorifique,,
Sempertrans,95018,Argenteuil,95100,Fabrication d'autres articles en caoutchouc,,
cora,95268,Garges-lès-Gonesse,95140,Hypermarchés,,
Base Eurologistic de Villabé,91659,Villabé,91100,Agences immobilières,,
SANOFI WINTHROP INDUSTRIE,95371,Marly-la-Ville,95670,Commerce de gros (commerce interentreprises) d'autres biens domestiques,,
XPO SUPPLY CHAIN FRANCE,77445,Savigny-le-Temple,77176,Entreposage et stockage non frigorifique,,
VOG,95306,Herblay,95220,Commerce de voitures et de véhicules automobiles légers,,
Station de compression de GRTGAZ Fontenay Mauvoisin,78245,Fontenay-Mauvoisin,78200,Transports par conduites,1.(b),Installations de gazéification et de liquéfaction
GENERIS - Compostage Reau,77384,Réau,77550,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
TRADEHOS,95018,Argenteuil,95100,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
KUEHNE+NAGEL SAS,77181,Ferrières-en-Brie,77164,Entreposage et stockage non frigorifique,,
SMAC SAS,93008,Bobigny,93000,Commerce de voitures et de véhicules automobiles légers,,
PROCUVES,95491,Le Plessis-Bouchard,95130,Nettoyage courant des bâtiments,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
IDEAFORM,78310,Houdan,78550,Activités des agences de publicité,,
ARTERRIS LOUDES,11076,Castelnaudary,11451,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,
PIECES AUTOMOBILES OCCASIONS,11288,Pezens,11170,Commerce de gros (commerce interentreprises) de déchets et débris,,
BITUMIX,30034,Bellegarde,30127,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
SRA SAVAC,34032,Béziers,34515,Collecte et traitement des eaux usées,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
BIOCAMA INDUSTRIE,34202,Pignan,34570,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
MATERIAUX ROUTIERS DE L'HERAULT,34327,Vendargues,34740,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
SYNDICAT CENTRE HERAULT,34013,Aspiran,34800,Traitement et élimination des déchets non dangereux,,
SARL ROUSSET,48092,Marvejols,48100,Entretien et réparation de véhicules automobiles légers,,
TOSI - CASSE AUTO DE LA GARRIGUE,66050,Claira,66530,Récupération de déchets triés,,
HYDRAPRO SAS,30145,Lédenon,30210,Commerce de gros (commerce interentreprises) de produits chimiques,,
LEREAU,34081,Colombiers,34440,Démantèlement d'épaves,,
MB AUTO,34301,Sète,34200,Commerce de détail d'équipements automobiles,,
LA GLORIETTE DISTRIBUTION SAS,30032,Beaucaire,30300,Commerce de gros (commerce interentreprises) de produits chimiques,,
Est granulats,67154,Gerstheim,67150,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
SABLIERE OESCH,67267,Lingolsheim,67380,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
GRAVIERES D'ALSACE LORRAINE (site Weyersheim),67529,Weyersheim,67728,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
carrière de Bartenheim,68021,Bartenheim,68870,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
Holcim Béton Granulat Haut-Rhin (carrière),68300,Sausheim,68380,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
SIAT BRAUN,67500,Urmatt,67280,"Sciage et rabotage du bois, hors imprégnation",6.(c),"Installations industrielles destinées à la conservation du bois et des produits dérivés du bois au moyen de substances chimiques d'une capacité de production de 50 m3 par jour "
GUY DAUPHIN ENVIRONNEMENT,67130,Erstein,67150,Récupération de déchets triés,,
AUCHAN FRANCE SCHWEIGHOUSE,67458,Schweighouse-sur-Moder,67590,Hypermarchés,,
Auchan Mulhusa,68224,Mulhouse,68200,Hypermarchés,,
SUEZ RV NORD EST - Déchèterie Professionnelle Strasbourg,67482,Strasbourg,67000,Collecte des déchets non dangereux,,
AMAC AEROSPACE SWITZERLAND AG,68135,Hésingue,68220,Réparation et maintenance d'aéronefs et d'engins spatiaux,,
Auchan Strasbourg,67482,Strasbourg,67033,Hypermarchés,,
SELTZ MATERIAUX,67463,Seltz,67470,Commerce de gros (commerce interentreprises) de déchets et débris,,
CERNAY ENVIRONNEMENT,68063,Cernay,68703,Récupération de déchets triés,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
BLODELSHEIM Environnement,68041,Blodelsheim,68740,Récupération de déchets triés,,
SAFRAN LANDING SYSTEMS,67300,Molsheim,67129,Réparation et maintenance d'aéronefs et d'engins spatiaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Wagram Terminal,67389,Reichstett,67116,Entreposage et stockage non frigorifique,,
SUEZ RV NORD EST - DECH PRO COLMAR,68066,Colmar,68000,Collecte des déchets non dangereux,,
ENTREPRISE MUR,65408,Sarrancolin,65410,Autres activités extractives n.c.a.,,
MIDI PYRENEES GRANULATS,82132,Montricoux,82800,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
MIDI PYRENEES GRANULATS,09199,Montaut,09700,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
BETONS GRANULATS OCCITANS,09282,Saverdun,09700,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,
VIVADOUR,32155,Le Houga,32460,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,
SEVIA,81036,Bout-du-Pont-de-Larn,81660,Collecte des déchets dangereux,,
CARRIERES DE LA NESTE- site de Montégut,65319,Montégut,65150,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
VIVADOUR,32242,Masseube,32140,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,
SARL ACO J-DESMONS ET FILS,82112,Moissac,82200,Commerce de gros (commerce interentreprises) de déchets et débris,,
SARL MAZARD PIECES AUTO 09,09289,Lorp-Sentaraille,09190,Récupération de déchets triés,,
SA FOURMENT ET FILS,82096,La Ville-Dieu-du-Temple,82290,Récupération de déchets triés,,
AREAL,32143,Gazaupouy,32480,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,
SAICA PACK TOULOUSE,31555,Toulouse,31106,Fabrication de carton ondulé,,
DONNEVILLE CASSE AUTO,31162,Donneville,31450,Démantèlement d'épaves,,
AERO TECHNIQUE ESPACE,31150,Cornebarrieu,31700,Traitement et revêtement des métaux,,
ALLMETAL,31163,Drémil-Lafage,31280,Récupération de déchets triés,,
EURO AUTOMOBILES,31555,Toulouse,31400,Commerce de voitures et de véhicules automobiles légers,,
CORUDO,31107,Carbonne,31390,Récupération de déchets triés,,
GACHES CHIMIE SPECIALITES,31555,Toulouse,31084,Commerce de gros (commerce interentreprises) de produits chimiques,,
RECUPERATION SERVICES AUTO ROCHIS,46202,Montdoumerc,46230,Commerce de gros (commerce interentreprises) de déchets et débris,,
sarl casse auto jacky,09225,Pamiers,09100,Démantèlement d'épaves,,
LAGRANGE PRODUCTION,31311,La Magdeleine-sur-Tarn,31340,Fabrication de charpentes et d'autres menuiseries,,
ANNIC SAS,82088,Laguépie,82250,Fabrication de chaussures,,
Auchan Toulouse,31555,Toulouse,31075,Hypermarchés,,
EOVAL,31261,Lafitte-Vigordane,31390,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
ENVIE 2E Midi Pyrénées,31433,Portet-sur-Garonne,31120,Récupération de déchets triés,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
GENITEC-TRADEHOS,81104,Giroussens,81500,Traitement et élimination des déchets dangereux,,
déchetterie ZI Nord,82121,Montauban,82000,Traitement et élimination des déchets non dangereux,,
VERDE-SXM,97127,SAINT-MARTIN,97150,Traitement et élimination des déchets non dangereux,,
EDF Production Electrique Insulaire SAS - Etablissement de Bellefontaine,97234,BELLEFONTAINE,97222,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
Séché Healthcare,97118,PETIT-BOURG,97170,Collecte des déchets dangereux,,
Ecompagnie,97118,PETIT-BOURG,97170,Traitement et élimination des déchets dangereux,,
AUCHAN ENGLOS,59286,Haubourdin,59483,Hypermarchés,,
SICCANOR S.A.S.,59179,Douchy-les-Mines,59282,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,4.(a).(vii),hydrocarbures organométalliques
ARC TOOLING,62014,Aire-sur-la-Lys,62120,Fabrication de moules et modèles,,
Auchan Cote d'opale,62758,Saint-Martin-Boulogne,62280,Hypermarchés,,
SARL AUTO SYSTEME,62133,Billy-Montigny,62420,Commerce de gros (commerce interentreprises) de déchets et débris,,
SARL BONNEL et FILS,62489,Lapugnoy,62122,Commerce de gros (commerce interentreprises) de déchets et débris,,
COENMANS RECYCLAGE INDUSTRIEL (SAS),62119,Béthune,62400,Récupération de déchets triés,,
DETOEUF RECYCLAGE,62263,Dainville,62000,Démantèlement d'épaves,2.(c).(ii),par forgeage à l'aide de marteaux avec une énergie de frappe de 50 kJ par marteau lorsque la puissance calorifique mise en oeuvre est supérieure à 20 MW
DHESDIN S.A.,62250,Courrières,62710,Récupération de déchets triés,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
Minerval,59183,Dunkerque,59140,Traitement et élimination des déchets non dangereux,,
AUTO SYSTEME CASS'62,62178,Bruay-la-Buissière,62700,Commerce de gros (commerce interentreprises) de déchets et débris,,
HOUDAIN PIECES AUTOS,62457,Houdain,62150,Commerce de gros (commerce interentreprises) de déchets et débris,,
VERCRUYSSE FRERES,62261,Cucq,62780,Récupération de déchets triés,,
TRADEHOS,59544,Saint-Saulve,59880,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SARL HADOUX,62268,Desvres,62240,Récupération de déchets triés,,
Auchan SA,62525,Longuenesse,62219,Hypermarchés,,
SARL NICOLAY FILS,62043,Les Attaques,62730,Récupération de déchets triés,,
LABORATOIRES SARBEC,59426,Neuville-en-Ferrain,59960,Fabrication de parfums et de produits pour la toilette,,
AUCHAN CAMBRAI,59206,Escaudoeuvres,59161,Hypermarchés,,
AUCHAN ARRAS,62041,Arras,62000,Hypermarchés,,
REMED,59527,Saint-André-lez-Lille,59350,Récupération de déchets triés,,
BOONE COMENOR METALIMPEX,59051,La Bassée,59480,Commerce de gros (commerce interentreprises) de minerais et métaux,,
